epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8108,0.59432,2.30948,0.9995,0.00758,1,0.9762,0.93555,0.2407,2.53756,0.81349,0.00018,0.00018,0.00018
2,86.6581,0.49657,1.37133,0.88609,0.00758,1,0.95666,0.84916,0.38333,2.48786,0.85867,0.000376238,0.000376238,0.000376238
3,129.462,0.49958,0.88813,0.9108,1,0.27249,0.94744,0.84134,0.41778,2.33376,0.8501,0.000568516,0.000568516,0.000568516
4,172.704,0.50069,0.74392,0.90453,0.9882,0.83759,0.98617,0.87925,0.44825,1.95254,0.86863,0.000756834,0.000756834,0.000756834
5,216.341,0.47836,0.72327,0.89346,0.61785,0.43656,0.62653,0.51363,0.48199,2.19754,0.91492,0.000941192,0.000941192,0.000941192
6,259.763,0.50133,0.70958,0.90004,0.95343,0.9,0.97478,0.86013,0.50264,1.69222,0.95489,0.00112159,0.00112159,0.00112159
7,302.07,0.49559,0.63882,0.89692,0.94325,0.81,0.92839,0.76808,0.62702,1.46876,1.00867,0.00129803,0.00129803,0.00129803
8,351.554,0.53909,0.67094,0.91468,0.79857,0.67401,0.71387,0.58574,0.70167,1.79804,1.20153,0.00147051,0.00147051,0.00147051
9,406.962,0.50003,0.68545,0.9142,0.91166,0.92878,0.95633,0.81541,0.57407,1.23943,1.01514,0.00163902,0.00163902,0.00163902
10,451.538,0.5538,0.66271,0.92287,0.98192,0.86,0.95078,0.8147,0.54218,1.2232,1.03786,0.00180358,0.00180358,0.00180358
11,495.045,0.55852,0.65887,0.9294,0.94244,0.98246,0.98455,0.84369,0.50682,0.92807,0.94866,0.001802,0.001802,0.001802
12,538.953,0.51851,0.61077,0.9119,0.9494,0.92,0.97718,0.8497,0.50564,0.85011,0.91138,0.0017822,0.0017822,0.0017822
13,582.54,0.50345,0.60042,0.90858,0.90485,0.96,0.93814,0.80183,0.48769,0.94691,0.95971,0.0017624,0.0017624,0.0017624
14,627.602,0.47502,0.60577,0.91081,0.82026,0.81,0.85628,0.6653,0.67722,1.19289,1.3849,0.0017426,0.0017426,0.0017426
15,700.573,0.49128,0.5886,0.91347,0.88768,0.96,0.95137,0.86298,0.40752,0.80807,0.91593,0.0017228,0.0017228,0.0017228
16,754.746,0.44354,0.5389,0.88816,0.95877,0.98,0.98214,0.89127,0.40601,0.67331,0.90005,0.001703,0.001703,0.001703
17,825.086,0.46802,0.55388,0.90559,0.9424,0.92,0.97461,0.88333,0.41249,0.72868,0.86628,0.0016832,0.0016832,0.0016832
18,906.312,0.44811,0.53403,0.89693,0.98847,1,0.98708,0.904,0.37808,0.59535,0.83899,0.0016634,0.0016634,0.0016634
19,967.723,0.44789,0.52294,0.90063,0.9581,0.94,0.95994,0.89528,0.35124,0.6772,0.84747,0.0016436,0.0016436,0.0016436
20,1010.84,0.42472,0.52166,0.89177,0.96168,0.99,0.99322,0.94143,0.33723,0.57509,0.82716,0.0016238,0.0016238,0.0016238
21,1055.06,0.4086,0.47416,0.88177,0.96543,0.99,0.99412,0.94337,0.3448,0.55324,0.82846,0.001604,0.001604,0.001604
22,1099.68,0.42834,0.46911,0.8761,0.96737,0.98,0.97925,0.93297,0.30996,0.5125,0.81955,0.0015842,0.0015842,0.0015842
23,1144.54,0.4211,0.45751,0.88872,0.98012,0.99,0.98084,0.92535,0.33993,0.50524,0.8288,0.0015644,0.0015644,0.0015644
